ledger_period_start,ledger_period_end,ledger_opening_balance,entity_name,posting_date,journal_reference,line_number,gl_account_number,gl_account_name,description,source_document,source_reference,debit_amount,credit_amount,balance_after_posting,currency,source_file_name,ledger_txn_id,source_record_id,cleaning_status,cleaning_notes,standardized_posting_date,standardized_document_date,debit_amount_numeric,credit_amount_numeric,ledger_amount_abs,ledger_debit_credit,ledger_cash_effect,amount_numeric,signed_amount,debit_credit,reference_number,ledger_description,gl_account,normalized_reference,vendor_customer_name,normalized_counterparty,normalized_description,reference_usable,counterparty_usable,description_usable,in_scope_month_flag,entity_in_scope_flag,currency_in_scope_flag,bank_relevant_activity_flag,recon_candidate,recon_exclusion_reason,duplicate_flag,duplicate_group_id,duplicate_review_required
1/1/2024,1/31/2024,150000,MedSupplyCo,1/3/2024,JRN-240103-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - North Valley Hospital,AR Receipt,RCPT-240103-NVH,18750,0,168750,USD,ledger_transactions_sample.csv,JRN-240103-001-001,JRN-240103-001-001,CLEAN,,2024-01-03,,18750.0,0.0,18750.0,DR,18750.0,18750.0,18750.0,DR,RCPT-240103-NVH,Customer receipt - North Valley Hospital,Operating Cash - First Regional Bank,RCPT240103NVH,North Valley Hospital,NORTH VALLEY HOSPITAL,CUSTOMER RECEIPT NORTH VALLEY HOSPITAL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/4/2024,JRN-240104-001,1,101000,Operating Cash - First Regional Bank,AP payment - LabEquip Inc,AP Payment,PMT-240104-LEQ,0,7640,161110,USD,ledger_transactions_sample.csv,JRN-240104-001-001,JRN-240104-001-001,CLEAN,,2024-01-04,,0.0,7640.0,7640.0,CR,-7640.0,7640.0,-7640.0,CR,PMT-240104-LEQ,AP payment - LabEquip Inc,Operating Cash - First Regional Bank,PMT240104LEQ,LabEquip Inc,LABEQUIP INC,AP PAYMENT LABEQUIP INC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/5/2024,JRN-240105-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Sunrise Clinic,AR Receipt,RCPT-240105-SRC,12480,0,173590,USD,ledger_transactions_sample.csv,JRN-240105-001-001,JRN-240105-001-001,CLEAN,,2024-01-05,,12480.0,0.0,12480.0,DR,12480.0,12480.0,12480.0,DR,RCPT-240105-SRC,Customer receipt - Sunrise Clinic,Operating Cash - First Regional Bank,RCPT240105SRC,Sunrise Clinic,SUNRISE CLINIC,CUSTOMER RECEIPT SUNRISE CLINIC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/8/2024,JRN-240108-001,1,101000,Operating Cash - First Regional Bank,Payroll funding - Jan 8 cycle,Payroll,PR-240108,0,14250,159340,USD,ledger_transactions_sample.csv,JRN-240108-001-001,JRN-240108-001-001,CLEAN,,2024-01-08,,0.0,14250.0,14250.0,CR,-14250.0,14250.0,-14250.0,CR,PR-240108,Payroll funding - Jan 8 cycle,Operating Cash - First Regional Bank,PR240108,Jan 8 cycle,JAN 8 CYCLE,PAYROLL FUNDING JAN 8 CYCLE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/9/2024,JRN-240109-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Horizon Medical Group,AR Receipt,RCPT-240109-HMG,9320,0,168660,USD,ledger_transactions_sample.csv,JRN-240109-001-001,JRN-240109-001-001,CLEAN,,2024-01-09,,9320.0,0.0,9320.0,DR,9320.0,9320.0,9320.0,DR,RCPT-240109-HMG,Customer receipt - Horizon Medical Group,Operating Cash - First Regional Bank,RCPT240109HMG,Horizon Medical Group,HORIZON MEDICAL GROUP,CUSTOMER RECEIPT HORIZON MEDICAL GROUP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/10/2024,JRN-240110-001,1,101000,Operating Cash - First Regional Bank,Rent payment - Cedar Properties,Rent,LEASE-240110,0,6800,161860,USD,ledger_transactions_sample.csv,JRN-240110-001-001,JRN-240110-001-001,CLEAN,,2024-01-10,,0.0,6800.0,6800.0,CR,-6800.0,6800.0,-6800.0,CR,LEASE-240110,Rent payment - Cedar Properties,Operating Cash - First Regional Bank,LEASE240110,Cedar Properties,CEDAR PROPERTIES,RENT PAYMENT CEDAR PROPERTIES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/11/2024,JRN-240111-001,1,101000,Operating Cash - First Regional Bank,AP payment - Sterile Pack LLC,AP Payment,PMT-240111-SPL,0,4325,157535,USD,ledger_transactions_sample.csv,JRN-240111-001-001,JRN-240111-001-001,CLEAN,,2024-01-11,,0.0,4325.0,4325.0,CR,-4325.0,4325.0,-4325.0,CR,PMT-240111-SPL,AP payment - Sterile Pack LLC,Operating Cash - First Regional Bank,PMT240111SPL,Sterile Pack LLC,STERILE PACK LLC,AP PAYMENT STERILE PACK LLC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/12/2024,JRN-240112-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Lakeside Surgical,AR Receipt,,8975,0,166510,USD,ledger_transactions_sample.csv,JRN-240112-001-001,JRN-240112-001-001,CLEAN,,2024-01-12,,8975.0,0.0,8975.0,DR,8975.0,8975.0,8975.0,DR,,Customer receipt - Lakeside Surgical,Operating Cash - First Regional Bank,,Lakeside Surgical,LAKESIDE SURGICAL,CUSTOMER RECEIPT LAKESIDE SURGICAL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/15/2024,JRN-240115-001,1,101000,Operating Cash - First Regional Bank,AP payment - Utilities Hub,AP Payment,PMT-240115-UHB,0,2890,163620,USD,ledger_transactions_sample.csv,JRN-240115-001-001,JRN-240115-001-001,CLEAN,,2024-01-15,,0.0,2890.0,2890.0,CR,-2890.0,2890.0,-2890.0,CR,PMT-240115-UHB,AP payment - Utilities Hub,Operating Cash - First Regional Bank,PMT240115UHB,Utilities Hub,UTILITIES HUB,AP PAYMENT UTILITIES HUB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/16/2024,JRN-240116-001,1,101000,Operating Cash - First Regional Bank,AP payment - MedTrans Courier,AP Payment,PMT-240116-MTC,0,1860,161760,USD,ledger_transactions_sample.csv,JRN-240116-001-001,JRN-240116-001-001,CLEAN,,2024-01-16,,0.0,1860.0,1860.0,CR,-1860.0,1860.0,-1860.0,CR,PMT-240116-MTC,AP payment - MedTrans Courier,Operating Cash - First Regional Bank,PMT240116MTC,MedTrans Courier,MEDTRANS COURIER,AP PAYMENT MEDTRANS COURIER,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/17/2024,JRN-240117-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Pinnacle Health,AR Receipt,RCPT-240117-PHL,11430,0,173190,USD,ledger_transactions_sample.csv,JRN-240117-001-001,JRN-240117-001-001,CLEAN,,2024-01-17,,11430.0,0.0,11430.0,DR,11430.0,11430.0,11430.0,DR,RCPT-240117-PHL,Customer receipt - Pinnacle Health,Operating Cash - First Regional Bank,RCPT240117PHL,Pinnacle Health,PINNACLE HEALTH,CUSTOMER RECEIPT PINNACLE HEALTH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
