Match ID,Match Result,Bank Transaction Date,Bank Value Date,Bank Description,Bank Counterparty,Bank Reference Number,Bank Debit / Credit,Bank Amount,Ledger Posting Date,Ledger Journal Reference,Ledger Description,Ledger Source Document,Ledger Source Reference,Ledger Debit / Credit,Ledger Amount,Review Required,Notes
MATCH-0001,Exact match,2024-01-03,2024-01-03,REMOTE DEP NORTH VALLEY HOSP,North Valley Hospital,DEP-0103-001,CREDIT,18750.0,2024-01-03,JRN-240103-001,Customer receipt - North Valley Hospital,AR Receipt,RCPT-240103-NVH,DR,18750.0,No,
MATCH-0002,Exact match,2024-01-04,2024-01-04,ACH CCD LABEQUIP INC,LabEquip Inc,ACH-240104-LEQ,DEBIT,7640.0,2024-01-04,JRN-240104-001,AP payment - LabEquip Inc,AP Payment,PMT-240104-LEQ,CR,7640.0,No,
MATCH-0003,Exact match,2024-01-05,2024-01-05,LOCKBOX SUNRISE CLINIC,Sunrise Clinic,DEP-0105-001,CREDIT,12480.0,2024-01-05,JRN-240105-001,Customer receipt - Sunrise Clinic,AR Receipt,RCPT-240105-SRC,DR,12480.0,No,
MATCH-0004,Exact match,2024-01-08,2024-01-08,PAYROLL FILE 240108,Payroll,PR-240108,DEBIT,14250.0,2024-01-08,JRN-240108-001,Payroll funding - Jan 8 cycle,Payroll,PR-240108,CR,14250.0,No,
MATCH-0005,Exact match,2024-01-09,2024-01-09,ACH CR HORIZON MED GROUP,Horizon Medical Group,CCD-240109-HMG,CREDIT,9320.0,2024-01-09,JRN-240109-001,Customer receipt - Horizon Medical Group,AR Receipt,RCPT-240109-HMG,DR,9320.0,No,
MATCH-0006,Exact match,2024-01-10,2024-01-10,ACH PMT CEDAR PROP RENT,Cedar Properties,ACH-240110-RENT,DEBIT,6800.0,2024-01-10,JRN-240110-001,Rent payment - Cedar Properties,Rent,LEASE-240110,CR,6800.0,No,
MATCH-0007,Exact match,2024-01-11,2024-01-11,ACH CCD STERILE PACK LLC,Sterile Pack LLC,ACH-240111-SPL,DEBIT,4325.0,2024-01-11,JRN-240111-001,AP payment - Sterile Pack LLC,AP Payment,PMT-240111-SPL,CR,4325.0,No,
MATCH-0008,Exact match,2024-01-12,2024-01-12,REMOTE DEP LAKESIDE SURG,Lakeside Surgical,DEP-0112-001,CREDIT,8975.0,2024-01-12,JRN-240112-001,Customer receipt - Lakeside Surgical,AR Receipt,,DR,8975.0,Yes,Reference missing on one side — verify source document.
MATCH-0009,Exact match,2024-01-15,2024-01-15,ACH CCD UTILITIES HUB,Utilities Hub,ACH-240115-UHB,DEBIT,2890.0,2024-01-15,JRN-240115-001,AP payment - Utilities Hub,AP Payment,PMT-240115-UHB,CR,2890.0,No,
MATCH-0010,Exact match,2024-01-16,2024-01-16,ACH PMT MEDTRANS COURIER,MedTrans Courier,ACH-240116-MTC,DEBIT,1860.0,2024-01-16,JRN-240116-001,AP payment - MedTrans Courier,AP Payment,PMT-240116-MTC,CR,1860.0,No,
MATCH-0011,Exact match,2024-01-17,2024-01-17,DEPOSIT PINNACLE HEALTH,Pinnacle Health,,CREDIT,11430.0,2024-01-17,JRN-240117-001,Customer receipt - Pinnacle Health,AR Receipt,RCPT-240117-PHL,DR,11430.0,Yes,Reference missing on one side — verify source document.
MATCH-0012,Exact match,2024-01-19,2024-01-19,ACH CCD BIOWASTE SOLN,BioWaste Solutions,ACH-240119-BWS,DEBIT,2145.0,2024-01-19,JRN-240119-001,AP payment - BioWaste Solutions,AP Payment,PMT-240119-BWS,CR,2145.0,No,
MATCH-0013,Exact match,2024-01-22,2024-01-22,LOCKBOX REGIONAL CARE,Regional Care Partners,DEP-0122-001,CREDIT,13200.0,2024-01-22,JRN-240122-001,Customer receipt - Regional Care Partners,AR Receipt,RCPT-240122-RCP,DR,13200.0,No,
MATCH-0014,Exact match,2024-01-24,2024-01-24,ACH CCD CLEANAIR DIAG,CleanAir Diagnostics,ACH-240124-CAD,DEBIT,2200.0,2024-01-24,JRN-240124-001,Partial AP payment - CleanAir Diagnostics,AP Payment,PMT-240124-CAD,CR,2200.0,No,
MATCH-0015,Exact match,2024-01-25,2024-01-25,REMOTE DEP EASTSIDE IMG,Eastside Imaging,DEP-0125-001,CREDIT,7560.0,2024-01-25,JRN-240125-001,Customer receipt - Eastside Imaging,AR Receipt,RCPT-240125-EIM,DR,7560.0,No,
MATCH-0016,Exact match,2024-01-26,2024-01-26,ACH CCD MEDSUPPLY WHSE,MedSupply Wholesale,ACH-240126-MSW,DEBIT,9635.0,2024-01-26,JRN-240126-001,AP payment - MedSupply Wholesale,AP Payment,PMT-240126-MSW,CR,9635.0,No,
MATCH-0017,Exact match,2024-01-29,2024-01-29,ACH PMT HARBOR INSURANCE,Harbor Insurance,ACH-240129-HIC,DEBIT,4210.0,2024-01-29,JRN-240129-001,Insurance payment - Harbor Insurance,Insurance,PMT-240129-HIC,CR,4210.0,No,
MATCH-0018,Exact match,2024-01-29,2024-01-29,DEPOSIT WESTBROOK CLINIC,Westbrook Clinic,DEP-0129-001,CREDIT,10450.0,2024-01-29,JRN-240129-002,Customer receipt - Westbrook Clinic,AR Receipt,RCPT-240129-WBC,DR,10450.0,No,
MATCH-0019,Exact match,2024-01-30,2024-01-30,ACH LEASE APEX EQUIP FIN,Apex Equipment Finance,ACH-240130-AEF,DEBIT,1980.0,2024-01-30,JRN-240130-001,Equipment lease payment - Apex Equipment Finance,Lease Payment,PMT-240130-AEF,CR,1980.0,No,
MATCH-0020,Exact match,2024-01-31,2024-01-31,REMOTE DEP CITYLAB NETWK,CityLab Network,DEP-0131-001,CREDIT,17770.0,2024-01-31,JRN-240131-003,Customer receipt - CityLab Network,AR Receipt,RCPT-240131-CLN,DR,17770.0,No,
MATCH-0021,Reviewed same-day match,2024-01-18,2024-01-18,IRS EFTPS TAX PMT,IRS EFTPS,,DEBIT,3780.0,2024-01-18,JRN-240118-001,Payroll tax remittance,Payroll Tax,,CR,3780.0,Yes,Matched on same-day normalized cash effect after source-specific references/counterparties differed. Reference missing on one side — verify source document.
