Ledger Transaction ID,Entity Name,Posting Date,Journal Reference,Line Number,GL Account Number,GL Account Name,Description,Vendor / Customer Name,Source Document,Source Reference,Debit Amount,Credit Amount,Balance After Posting,Currency,Reconciliation Candidate,Reconciliation Exclusion Reason
JRN-240103-001-001,MedSupplyCo,2024-01-03,JRN-240103-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - North Valley Hospital,North Valley Hospital,AR Receipt,RCPT-240103-NVH,18750.0,0.0,168750,USD,Yes,
JRN-240104-001-001,MedSupplyCo,2024-01-04,JRN-240104-001,1,101000,Operating Cash - First Regional Bank,AP payment - LabEquip Inc,LabEquip Inc,AP Payment,PMT-240104-LEQ,0.0,7640.0,161110,USD,Yes,
JRN-240105-001-001,MedSupplyCo,2024-01-05,JRN-240105-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Sunrise Clinic,Sunrise Clinic,AR Receipt,RCPT-240105-SRC,12480.0,0.0,173590,USD,Yes,
JRN-240108-001-001,MedSupplyCo,2024-01-08,JRN-240108-001,1,101000,Operating Cash - First Regional Bank,Payroll funding - Jan 8 cycle,Jan 8 cycle,Payroll,PR-240108,0.0,14250.0,159340,USD,Yes,
JRN-240109-001-001,MedSupplyCo,2024-01-09,JRN-240109-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Horizon Medical Group,Horizon Medical Group,AR Receipt,RCPT-240109-HMG,9320.0,0.0,168660,USD,Yes,
JRN-240110-001-001,MedSupplyCo,2024-01-10,JRN-240110-001,1,101000,Operating Cash - First Regional Bank,Rent payment - Cedar Properties,Cedar Properties,Rent,LEASE-240110,0.0,6800.0,161860,USD,Yes,
JRN-240111-001-001,MedSupplyCo,2024-01-11,JRN-240111-001,1,101000,Operating Cash - First Regional Bank,AP payment - Sterile Pack LLC,Sterile Pack LLC,AP Payment,PMT-240111-SPL,0.0,4325.0,157535,USD,Yes,
JRN-240112-001-001,MedSupplyCo,2024-01-12,JRN-240112-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Lakeside Surgical,Lakeside Surgical,AR Receipt,,8975.0,0.0,166510,USD,Yes,
JRN-240115-001-001,MedSupplyCo,2024-01-15,JRN-240115-001,1,101000,Operating Cash - First Regional Bank,AP payment - Utilities Hub,Utilities Hub,AP Payment,PMT-240115-UHB,0.0,2890.0,163620,USD,Yes,
JRN-240116-001-001,MedSupplyCo,2024-01-16,JRN-240116-001,1,101000,Operating Cash - First Regional Bank,AP payment - MedTrans Courier,MedTrans Courier,AP Payment,PMT-240116-MTC,0.0,1860.0,161760,USD,Yes,
JRN-240117-001-001,MedSupplyCo,2024-01-17,JRN-240117-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Pinnacle Health,Pinnacle Health,AR Receipt,RCPT-240117-PHL,11430.0,0.0,173190,USD,Yes,
JRN-240118-001-001,MedSupplyCo,2024-01-18,JRN-240118-001,1,101000,Operating Cash - First Regional Bank,Payroll tax remittance,Payroll tax remittance,Payroll Tax,,0.0,3780.0,169410,USD,Yes,
JRN-240119-001-001,MedSupplyCo,2024-01-19,JRN-240119-001,1,101000,Operating Cash - First Regional Bank,AP payment - BioWaste Solutions,BioWaste Solutions,AP Payment,PMT-240119-BWS,0.0,2145.0,167265,USD,Yes,
JRN-240122-001-001,MedSupplyCo,2024-01-22,JRN-240122-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Regional Care Partners,Regional Care Partners,AR Receipt,RCPT-240122-RCP,13200.0,0.0,180465,USD,Yes,
JRN-240124-001-001,MedSupplyCo,2024-01-24,JRN-240124-001,1,101000,Operating Cash - First Regional Bank,Partial AP payment - CleanAir Diagnostics,CleanAir Diagnostics,AP Payment,PMT-240124-CAD,0.0,2200.0,178265,USD,Yes,
JRN-240125-001-001,MedSupplyCo,2024-01-25,JRN-240125-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Eastside Imaging,Eastside Imaging,AR Receipt,RCPT-240125-EIM,7560.0,0.0,185825,USD,Yes,
